name,hq,data_filings,median_wage,naics,relevant_title,other_titles,score
"QLYTIX, INC.","Miami, FL",6,,541519,It Analyst Iii Specialized,Oracle Pl/Sql Developer | Sap Successfactors Consultant,35.0
"RYTHMOS, INC.","Irving, TX",5,121000,541511,Data Warehousing Developer,Data Warehousing Specialist,35.0
Rehabilitation Institute of Chicago,"Chicago, IL",6,67538,622310,Data Analyst- Research Specialist,Data Analyst- Research Scientist | Data Scientist,35.0
"RevSpring, Inc.","Nashville, TN",6,87817,541511,Senior Software Quality Assurance Analyst,Configuration Analyst | Product Analyst,35.0
Revotyx LLC,"Charlotte, NC",5,101109,541511,Senior Business Systems Analyst,Senior Data Analyst Iv | Business Systems Analyst,35.0
SOUTH BROWARD HOSPITAL DISTRICT,"Hollywood, FL",5,114400,622110,Senior Business Intelligence Analyst,Senior Analyst - Business Intelligence | Senior Analyst -Business Intelligence-Decision Support,35.0
"STMICROELECTRONICS,INC","Coppell, TX",5,100961,334413,Business Unit Analyst I,Business Unit Analyst Iii | Software Ml / Algorithm Engineer,35.0
"STORD, Inc.","Atlanta, GA",2,133908,541614,Data Analyst,"Manager, Strategic Insights Analyst",35.0
SUV SOLUTIONS INC,"Dallas, TX",9,90000,541511,Data Analyst,Data Engineer | Business Data Analyst Iii,35.0
"SYMBIOUN TECHNOLOGIES, INC.","Monmouth Junction, NJ",6,96613,541511,Oracle Technical Analyst,Sap Tm Consultant | Azure Ai Engineer,35.0
Soltex Systems LLC,"Tewksbury, MA",6,85740,541511,Software Engineer (Data Engineer),Clinical Data Analyst | Etl Informatica Developer,35.0
Sunmerge Systems Inc,"Piscataway, NJ",9,86000,541511,Database Administrator,Business Analyst | Database Administrtor,35.0
TEKNATIO INC,"Plainsboro, NJ",7,92331,541511,Java Application Analyst,Data Engineer | Database Administrator,35.0
Takeo Tech LLC,"New York, NY",9,65500,541511,Data Engineer,Data Analyst | Data Scientist,35.0
ThinkNorth LLC,"Mauldin, SC",9,80350,541511,Data Analyst,Senior Sap Consultant | Bi Developer,35.0
"Touchworld, Inc.","Farmington Hills, MI",4,118789,541511,Computer Systems Analyst,Business Intelligence Analyst | Business Management Analyst,35.0
"U.S. Xpress, Inc.","Chattanooga, TN",6,96730,48412,Analytics Engineer Ii,Data Engineer Ii | Data Engineer Iii,35.0
"United America Systems, Inc.","Chadds Ford, PA",6,88000,541511,Java Big Data Developer,Data Analyst | Data Modeler,35.0
United Fortune IT Solutions,"Aurora, IL",6,84750,541511,Systems Analyst,System Analyst | Bi Developer,35.0
VARN Technologies LLC,"Camp Hill, PA",9,86278,541511,Sr. Software Analyst,Software Analyst | Business Intelligence Analyst,35.0
VIKVAR TECHNOLOGIES LLC,"Austin, TX",9,80000,541511,Quality Analyst,Business Analyst | Business/Data Analyst,35.0
"WAVE ERA, INC.","Princeton, NJ",6,103178,541511,Data Architect,Tester-Expert | Release Manager,35.0
"WESCO Distribution, Inc.","Pittsburgh, PA",6,87500,33531,Supply Chain Analytics Analyst,Analyst- Commercial Analytics | Analyst- Cost,35.0
YUVI SYSTEMS INC.,"Chantilly, VA",9,86500,541511,Data Analyst,Qa Analyst | Mongodba,35.0
American Innovative Technologies Corp,"Neptune, NJ",5,107000,541511,Data Engineer,Quality Analyst | Qa Analyst,34.9
"Aner Group, Inc.","Austin, TX",2,140000,541512,"Senior Systems Analyst (Erp, Peoplesoft)",,34.9
"Arctic Wolf Networks, Inc.","Eden Prairie, MN",2,140000,541512,Senior Database Automation Engineer,,34.9
"Cadmus Holding Company, Inc.","Arlington, VA",2,133500,54151,Business Systems Analyst Ii,Data And Test Engineer,34.9
"Comply365, LLC","Beloit, WI",2,140000,541512,Lead Systems Analyst And Developer,,34.9
Evergreen Money Corporation,"Miami, FL",2,140000,523940,Senior Data Analyst,,34.9
"Global Mail, Inc. d/b/a DHL eCommerce","Weston, FL",4,118197,49211,Transportation Analyst Ii,Senior Application Support Analyst | Azure Data Engineering Analyst,34.9
Homegenius Real Estate LLC,"Wayne, PA",5,113850,522310,Data Scientist I,Data Science Engineer | Software Quality Assurance Analyst,34.9
KBR Wyle Services LLC,"Houston, TX",3,122574,541330,"Sr. Specialist, Machine Learning & Artificial Intelligence","Sr. Technical Professional-Test Engineer-Kbgfjg116550-4 | Sr. Technical Professional, Software Engineer-Kbgfjg116550-5",34.9
Labcorp Early Development Laboratories Inc.,"Madison, WI",3,122450,32541,Data Architect,Senior Storage And Backup Engineer | Integration Tech Lead,34.9
Lansoft Inc,"Raleigh, NC",2,140000,541511,Database Administrator,,34.9
"Panjiva, Inc.","New York, NY",3,122648,541614,Lead Data Scientist,Quality Engineer | Data Scientist,34.9
"ProgenyHealth, LLC","Plymouth Meeting, PA",2,140000,524114,Sr. Database Engineer / Dba,,34.9
"Sharecare Operating Company, Inc.","Atlanta, GA",3,122433,51919,Sr. Data Engineer,Solutions Architect | Data Engineer,34.9
Spane IT Solutions Inc,"Dallas, TX",10,91562,541511,Programmer Analyst,Computer Systems Analyst | Data Architect,34.9
"Tech Mahindra Technologies, Inc.","Bedminster, NJ",7,91562,541511,Computer Systems Analyst,Business Systems Analyst | Applications Analyst,34.9
"Zirlen Technologies, Inc","Houston, TX",7,98301,541511,Sr. Data Engineer,Data Engineer | Bi Developer,34.9
"ADUSA Procurement, LLC","Salisbury, NC",5,100000,445110,Analyst Channel Management,Manager I Supply Chain Product Management | Supply Chain Business Analytics Analyst,34.8
"Algorithmic Research Group, LLC","Raleigh, NC",2,139797,51321,Machine Learning Researcher,,34.8
"American Multi-Cinema, Inc.","Leawood, KS",3,122221,512131,Data Analyst Iv,"Manager, Pricing | Business Intelligence Analyst Iv",34.8
"Aptonet, Inc.","Roswell, GA",2,133307,541511,Data Engineer,Data Scientist “ Machine Learning Engineer,34.8
"BMK Solutions, LLC","Oxford, MI",4,117796,54151,Business Intelligence Solutions Engineer,Senior Database Developer | Database Administrator,34.8
"Banjo Health, Inc.","Washington, DC",4,124349,541511,Principal Machine Learning Engineer,Machine Learning Engineer,34.8
"COMTEC CONSULTANTS, INC.","Irving, TX",7,91500,5419,Management (Oracle Erp) Analyst,Software Quality Assurance Analyst And Tester | Data Scientist/Analytics Manager,34.8
Choctaw Nation of Oklahoma,"Durant, OK",5,106808,92115,Data Engineer Iii,Senior Business Intelligence Analyst | Data Engineer Ii,34.8
"HARRIS TEETER, LLC","Matthews, NC",4,111000,445110,Database Administrator Iii,Applications Analyst Programmer Iv | Applications Analyst Programmer Iii (Mainframe Systems),34.8
HBR Analytics & BI Solutions LLC,"Dallas, TX",7,91500,5416,Business Analyst,Sr. Sap Data & Analytics Developer | Sr. Sap Data & Analytics Architect,34.8
"LORSIV TECHNOLOGIES, INC","Lisle, IL",7,91500,541511,Etl Developer,Database Developer | Sr Data Engineer,34.8
"Mouser Electronics, Inc.","Mansfield, TX",5,100048,423690,Bi Developer Iii,Senior Mongo Database Administrator | Web Qa Analyst Ii,34.8
New Jersey Institute of Technology,"Newark, NJ",5,100000,611310,Associate Director Of Business Intelligence,Associate Director Of Institutional Research | It Business Analyst,34.8
"Olaris, Inc.","Framingham, MA",2,133063,541714,Manager Of Statistical Science And Biomarkers,Director Of Data Science And Product Development,34.8
Planet Equity Group,"Western Springs, IL",4,117878,541511,Data Engineer,Principal Data Architect | Sr. Data Analyst,34.8
SUVODA LLC,"Conshohocken, PA",4,124500,54151,Clinical Data Manager,Technical Support Specialist,34.8
"Technodrive Business Solutions, Inc.","Farmington Hills , MI",4,110906,541511,Business Analyst,Cloud Data Engineer | Data Engineer,34.8
"TransUnion Interactive, Inc. A Wholly Owned Subsidiary of TransUnion LLC","Chicago, IL",5,106558,561450,Senior Analyst,Senior Consultant | Developer,34.8
"Trystar, LLC","Faribault, MN",2,133120,335313,Business Intelligence Engineer,Senior Data Engineer,34.8
VantageERP LLC,"Houston, TX",4,111321,541511,Machine Learning Engineer,Sr.Data Engineer | Software Developer - .Net Application Analyst,34.8
"Vistra Retail Operations Company, LLC","Irving, TX",2,133067,22111,Exception Analyst Lead,"Sr. Manager, Data Science & Advanced Analytics",34.8
"Yum Restaurant Services Group, LLC","Louisville, KY",2,139896,722513,"Director, Data Strategy",,34.8
ZYMO SOLUTIONS LLC,"Herndon, VA",4,117828,541511,Power Bi Developer,Data Analyst | Business Intelligence Consultant,34.8
AlphaROC Inc.,"Newark, NJ",3,135000,5416,Data Scientist,,34.7
"Bell Info Solutions, LLC","Wilmington, DE",8,93021,541511,Salesforce Business Systems Analyst,Computer Systems Analyst 3 | Master Business Data Analyst,34.7
BioPharm Communications LLC,"New Hope, PA",3,128400,541810,"Associate Director, Data Engineering","Manager, Data Science",34.7
"Continental Tire The Americas, LLC","Fort Mill, SC",4,110528,326211,Scm Analyst Ii - Kbgfjg242462-1,Sr Scm Analyst - Kbgfjg242371-2 | Principal It Systems Analyst - Kbgfjg242381-1,34.7
Dassault Systemes SolidWorks Corporation,"Waltham, MA",5,106331,541511,Data/Business Analyst - Draftsight,Solidworks Ecosystem Specialist | Ai/Machine Learning Software Engineer,34.7
Eastman Chemical Company,"Kingsport, TN",5,99561,32519,Demand Planning Excellence Analyst,Demand Planner | System Administrator – Specialist,34.7
"HORIZONPLUS TECHNOLOGIES, INC.","Princeton, NJ",4,110718,54151,Oracle Database Administrator,Data Scientist | Business And Technology Intelligence Analyst,34.7
MIAMI DADE COLLEGE,"Miami, FL",2,132500,611210,Lead Erp Systems Analyst,Sr. Dir. Peoplesoft Applications,34.7
Methodist Health System,"Dallas, TX",4,117482,622310,Senior Workday Analyst,Health Informaticist | Trauma Data Manager,34.7
"Redeemsoft, LLC","Iselin, NJ",7,91000,541511,Sap Fico Analyst,Sr. Data Analyst | Power Bi Developer,34.7
"SENA INFO TECHNOLOGIES, INC.","Grand Rapids, MI",4,123939,541511,Data Engineer,Programmer Analyst,34.7
"USR Parent, Inc.","Framingham, MA",3,121700,459410,"Business Intelligence Manager, Store Experience Team",Data Scientist | Senior Pricing Statistician Usr,34.7
Agenus Inc.,"Lexington, MA",3,128003,541714,Biostatistics Manager,"Senior Manager, Clinical Data Science",34.6
"BlackRock Investment Management, LLC","Princeton, NJ",6,114650,523940,Analyst,Associate,34.6
EdvenSoft Solutions LLC,"Southlake, TX",4,117000,54151,Data Engineer,Business Intelligence Developer | Systems Analyst,34.6
Hunt MH Shared Services LLC,"El Paso, TX",4,130000,551114,Senior Data Scientist,,34.6
"Intralox, LLC","Harahan, LA",6,94839,333922,Business Development Analyst,Logistics Analyst | Business Analyst,34.6
"Plateau Software, Inc","Fairfax, VA",2,132215,541512,Business Intelligence Analyst,Operations Research Analyst,34.6
"SPNS TECH SOLUTIONS, LLC.","Maitland, FL",5,112278,541511,Data Engineer,Oracle Dba | Solution Architect With Gen Ai,34.6
School Employees Retirement System of Ohio,"Columbus, OH",3,121230,525110,Systems Analyst Iii,Systems Analyst Ii | Database Administrator,34.6
TENAZX INC,"Yonkers, NY",6,95035,541511,Oracle Hcm Systems Analyst,Business Analyst | Data Analyst,34.6
THE DOW CHEMICAL COMPANY,"Midland, MI",7,103813,541715,Senior Research Specialist,Data Science Specialist | Senior Technology Specialist,34.6
The Henry M. Jackson Foundation,"Bethesda, MD",5,106000,54171,"Software Developer Ii, Clinical Data Management","Technical Director, Quality Metrics & Reporting | Biostatistician 3",34.6
Topstars Inc.,"Berkeley Lake, GA",8,92531,541611,Data Engineer,Salesforce Business Analyst | Database Administrator,34.6
University of Massachusetts Chan Medical School,"Shrewsbury, MA",6,101334,611310,Biostatistician Iii,Sr. Biostatistician | Sr. Database Administrator,34.6
Vicor Corporation,"Andover, MA",3,121040,335999,Sap Business Intelligence/Business Warehouse Analyst (59068),Marketing Data Analyst & Business Intelligence Specialist | Senior Business Systems Analyst (00073556),34.6
Vytalize Health Inc.,"Hoboken, NJ",4,123237,561110,Lead Data Operations Analyst,Data Operations Analyst,34.6
Wolters Kluwer R&D U.S. LP,"Riverwoods, IL",4,130000,513210,Software Quality Assurance Analyst Iii,,34.6
21st Mortgage Corporation,"Knoxville, TN",2,131893,522292,Sr. Program Analyst Technical Lead,Sr. Programmer Analyst Technical Lead,34.5
"605, LLC","Syosset, NY",5,105264,541910,Data Scientist,Data Analayst | Manager Of Data Science,34.5
AGAP TECHNOLOGIES INC,"Irving, TX",7,83800,541511,Data Analyst,Data Engineer | Systems Engineer,34.5
ASCENDING Inc.,"Fairfax, VA",7,88000,541511,Database Engineer,Database Administrator | Market Research Analyst,34.5
ActionIQ,"New York, NY",2,138600,51821,Data Engineer - Customer Enablement,,34.5
Advanced Analytics LLC D/B/A HEXstream,"Chicago, IL",4,122949,541511,Bi/Etl Consultant,Integrations And Analytics Lead,34.5
Ambit RD Inc,"Morristown, NJ",7,85000,541690,Data Scientist,Analyst | Business Analyst,34.5
"BLUEBRIS SYSTEMS, INC.","Niles, IL",7,88088,541511,Data Engineer/Scientist,System Administrator | Software Quality Assurance Analyst And Tester,34.5
CAREER QUENCH TECHNOLOGIES LLC,"Irving, TX",7,68245,541511,Senior Statistical Programmer,Supply Chain Business Analyst | Systems Analyst,34.5
"COGNIRA, INC.","Atlanta, GA",6,107499,541512,Data Scientist Ii,Data Scientist I | Data Scientist Iii,34.5
COMPUTER POWER GROUP INC,"Jacksonville, FL",7,87048,541511,Data Engineer,Qa Analyst | Programmer Analyst,34.5
"Concentra Solutions, Inc.","Addison, TX",4,116555,621340,Software Development Analyst Ii,Software Development Analyst | Crm Software Development Analyst Ii,34.5
Cortracker Inc.,"Novi, MI",7,77730,54151,Database Engineer,Business Analyst | Software Engineer,34.5
Dallas County Hospital District,"Dallas, TX",6,100948,622110,Bi Developer Ii,Applications Systems Analyst/Programmer - Senior | Data Architect - Principal,34.5
Decision Spot,"Chicago, IL",9,94500,541512,Data Scientist,"Partner, Analytics | Operations Research Scientist",34.5
EBYTE TECHNOLOGIES INC,"Plantation, FL",10,66466,541512,Business Analyst,Crm System Analyst | Data  Analyst,34.5
EXCELACOM INC,"Reston, VA",7,86000,541519,Sr. Analyst,Analyst | Business Analyst,34.5
"Eight Eleven Group, LLC","Indianapolis, IN",7,,541511,Associate Data Engineer,Quality Data Analyst | Senior Talend Data Engineer,34.5
Electrify America LLC,"Reston, VA",2,138493,336110,Senior Energy Data Scientist,,34.5
"Entrivis Technologies, Inc.","Duluth, GA",7,82000,541511,Business Intelligence Analyst,Data Science Analyst/Engineer | Computer Database Administrator,34.5
First Cloud Inc,"Irving, TX",7,67995,541511,Data Engineer,Systems Analyst | Database Admin,34.5
"Fraunhofer USA, Inc.","Plymouth, MI",2,131740,5417,Research Data Scientist,Sr. Research Data Scientist,34.5
HiWorth Technology and Management llc,"Frisco, TX",7,84604,541512,Data Scientist,Computer Analyst / Developer | Software Product Analyst,34.5
HireBeat Inc.,"Jersey City, NJ",7,,541511,Business Intelligence Analyst,Data Scientist | Market Research Analyst,34.5
I BRAIN SOLUTIONS LLC,"Piscataway, NJ",10,84781,5415,Data Engineer,Database Administrator | Data Acquisition/Replication Specialist,34.5
"IDOO GLOBAL, INC.","Houston, TX",10,65000,54161,Informatica Database Engineer,Informatica Administrator | Database Architect,34.5
Iflex Inc,"Fairlawn, OH",10,,541511,Data Engineer,Database Developer | Bi Developer,34.5
JADE BUSINESS SERVICES LLC,"Frisco, TX",4,110000,541511,Generative Ai Engineer,Data Scientist | Senior Systems Analyst,34.5
"January Technologies, Inc.","New York City, NY",4,129771,54151,"Manager, Product Analytics",,34.5
KOYETECH LLC,"Farmington, CT",7,87000,541511,Data Engineer,"Software Developer – (Analyst, Quality Assurance (It)) | Qa Analyst",34.5
Keerthan IT Solutions Inc,"Jacksonville, FL",5,105230,541511,Data Integration Engineer,Sap Consultant | Data Engineer (Hadoop Developer),34.5
"Kyruus, Inc.","Boston, MA",2,131923,5415,Software Development Engineer/Etl Developer,Senior Data Engineer,34.5
"Mail Media, Inc.","New York, NY",7,79789,519130,Data Analyst,"Programmatic Analyst | Manager, Programmatic Operations",34.5
Maxnet Technologies LCC,"Hackensack, NJ",13,82555,541511,Programmer Analyst,,34.5
"Merz Pharmaceuticals, LLC","Raleigh, NC",3,120661,33911,Commercial Analytics Sql Etl Developer,"Manager, It Global Business – Sales And Distribution | Sap Security & Authorization Senior Expert",34.5
