name,hq,data_filings,median_wage,naics,relevant_title,score
"Capitol Resources, Inc.","Brooklyn, IA",1,59441,813940,Data Management Specialist,22.5
"Capricorn Advisers, LLC","New York, NY",1,115000,52399,Data Analyst,28.2
Capricorn Systems Inc.,"Tucker, GA",1,109500,541511,Sr. Data Analyst,26.9
"Capsim Management Simulations, Inc.","Aurora, IL",1,55300,51321,Client Relationship Analyst,22.5
"CAPSTONE REAL ESTATE GROUP, INC.","Franklin, TN",1,,5313,Business Intelligence Analyst,22.5
CapstoneUSA LLC,"Farmington Hills, MI",1,,541511,Software Quality Assurance Analyst And Tester,22.5
"CAPTION HEALTH, INC.","Chicago, IL",1,204172,5132,Senior Machine Learning Engineer,47.5
"Captive Resources, LLC","Itasca, IL",1,72000,5242,Data Analyst,22.5
"Captive Software Solutions, Inc.","Omaha, NE",1,90000,541511,Sr. Business Data Analyst,22.5
"Captive-Aire Systems, Inc.","Raleigh, NC",1,149000,332322,Business Intelligence Specialist,35.9
CARAT WORLD INC.,"New York, NY",1,112000,423940,Data Analyst,27.5
Caravela Energy Partners LP,"Darien, CT",1,200000,52399,Senior Energy Data Scientist,47.5
CARD & BEYOND INC,"Englewood Cliffs, NJ",1,,522320,Management Analyst,22.5
CARDIFF TECHNOLOGIES LLC,"Raleigh, NC",1,92000,541511,Software Quality Assurance Analyst,23.0
Cardio Diagnostics Inc.,"Chicago, IL",1,120000,5417,Senior Healthcare Economics Analyst,29.3
CARE,"Atlanta, GA",1,102835,813311,Data Solution Architect,25.4
Care Centrix Pharmacy LLC,"Rockledge, FL",1,,44611,Business Analyst,22.5
Care New England Health System,"Providence, RI",1,81224,622110,Health Services Research Analyst,22.5
Care Petroleum Inc.,"Knoxville, TN",1,73499,324110,Data Analyst And Operations Coordinator,22.5
CARECAM INTERNATIONAL INC.,"Fairfield, NJ",1,,561910,Database Administrator,22.5
CAREER GUIDANT INC.,"Alpharetta, GA",1,61360,541511,Logistics Analyst,22.5
Career West Consulting LLC,"Fort Wayne, IN",1,86100,541511,Technical Business Analyst,22.5
CAREERWAY SERVICES LLC,"Danbury, CT",1,86965,541511,Data Engineer,22.5
"CareServices 173, LLC","Fort Lee, NJ",1,140000,623110,Oracle Cloud Hcm Technical Analyst,33.9
Caresoft Global Technologies Inc,"Livonia, MI",1,61300,541330,Logistics Supply Chain Analyst,22.5
"Caretracker, Inc.","Niagara Falls, NY",1,93170,541512,Senior Quality Assurance Analyst,23.2
"CareValidate, Inc.","Alpharetta, GA",1,200000,513210,Head Of Data & Ai,47.5
CareVet Holdings,"Clayton, MO",1,110000,541940,Revenue Analyst,27.0
"Cargoes US, Inc.","Charlotte, NC",1,126000,488510,Research Scientist 2,30.7
Cargowill LLC,"Romeoville, IL",1,,541614,Computer Systems Analyst,22.5
Carl Zeiss Industrial Quality Solutions LLC,"White Plains, NY",1,108800,334513,Data Analyst,26.8
"Carle Holding Company, Inc.","Champaign, IL",1,,551112,Hamr - Systems Operations & Care Management Analyst,22.5
Carmichael Lynch Inc.,"Minneapolis, MN",1,50523,541810,Marketing Business Intelligence Analyst,22.5
Carnegie Institution of Washington d/b/a Carnegie Institution for Science,"Washington, DC",1,121800,5417,Research Scientist,29.7
Carnegie Software Corporation,"Princeton, NJ",1,95493,541511,Software Engineer (Bi),23.7
Carrols Corporation,"Syracuse, NY",1,70000,72251,Human Resources Business Analyst,22.5
Carter Enterprises LLC,"Brooklyn, NY",1,75400,315210,Management Analyst,22.5
CARVINTECH LLC,"Alpharetta, GA",1,102877,541511,Data Engineer,25.4
"Carzato, LLC","Clearwater, FL",1,120000,541511,Senior Automation Test Analyst,29.3
"Cascala Health, Inc.","Boston, MA",1,140000,513210,Ai Engineer,33.9
"CASE MEDICAL, INC.","Bloomfield, NJ",1,67995,3391,Data Analyst,22.5
"CaseBlink, Inc.","Silver Spring, MD",1,170373,51321,Ceo And Ml Lead,40.8
"Casella Waste Systems, Inc.","Rutland, VT",1,112681,562111,"Bi (Business Intelligence) & Data Warehouse Analyst, Sr.",27.7
Casey's Retail Company,"Ankeny, IA",1,57200,445110,Inventory Analyst,22.5
CASPI GROUP INC,"Washington, DC",1,82680,541890,Junior Data Analyst,22.5
Castellini Company LLC,"Wilder, KY",1,62500,31199,Supply Chain Analyst,22.5
"Castillo Engineering Services, LLC","Maitland, FL",1,51750,541330,Data Analyst,22.5
"Castle Shield Holdings, LLC","Scottsville, VA",1,160100,541519,Director Of Research,38.4
"CastleBridge Consulting, LLC","Tampa, FL",1,83200,541512,Systems Analyst,22.5
"Castrejon, Inc.","Blaine, MN",1,64501,237130,Management Analyst,22.5
"Catalina Business Solutions, Inc","Indianapolis, IN",1,,541511,Senior Etl Developer,22.5
"Catalyst Care Connect, LLC","Plano, TX",1,116100,551112,Sr. Business Intelligence Engineer,28.4
"Catalyst MSO, LLC","Plano, TX",1,80267,541611,Healthcare Economics Analyst,22.5
Catapult Employers Association,"Charlotte, NC",1,71178,813910,Data Analyst,22.5
"Catapult Staffing, LLC","Plano, TX",1,82000,541511,Operations Research Analyst,22.5
"Cathay Holding Group Co, Ltd","Brooklyn, NY",1,79456,541512,Data Analyst,22.5
"Cathay Securities, Inc.","New York, NY",1,56784,523150,Market Research Analyst,22.5
"Catholic Health System, Inc.","Buffalo, NY",1,131127,62211,Hris Application Analyst Naz,31.8
Causify.AI Inc.,"Dover, DE",1,110739,541511,Ai Engineer,27.2
"Cava Mezze Grill, LLC","Washington Dc, DC",1,196040,722511,"Senior Manager, Data Engineering",46.6
CAVALIER WORKFORCE INC,"Jersey City, NJ",1,93000,541519,Software Quality Analyst,23.2
Cave Computer Solutions Inc,"Plano, TX",1,200000,541512,Senior Technical Analyst,47.5
Cavi Consulting,"Richmond, VA",1,78978,541611,Ai And Automation Process Consultant,22.5
Caxton Associates LP,"New York, NY",1,185000,523940,Quantitative Developer (Commodities),44.1
"Cayuga Medical Center at Ithaca, Inc.","Ithaca, NY",1,115000,622110,Data Warehousing Specialist,28.2
"CB Information Services Inc. D/B/A CB, Insights","New York, NY",1,258006,5191,"Director, Data Science",47.5
CBA Business Ally LLC,"Watertown, MA",1,,541611,Digital Marketing Analyst,22.5
"CBI OF MARYLAND, INC.","Silver Spring, MD",1,,522298,Programmer Analyst,22.5
CC ManagementCo LLC,"New York, NY",1,100000,221114,Senior Technical Reporting Analyst,24.8
"CCL Label, Inc.","Framingham, MA",1,144612,561910,Senior It Technical Analyst,34.9
"CCSolTech, LLC.","Leander, TX",1,67288,5415,Data Analyst Ii,22.5
CDF Celebration LLC,"Celebration, FL",1,62462,6111,Education Strategy And Business Analyst,22.5
"CDR Global, Inc","Oklahoma City, OK",1,65000,42393,Market Research Analyst,22.5
"CDS Analytical, LLC","Oxford, PA",1,60000,334516,Business Analyst,22.5
"CDS Global, Inc.","Des Moines, IA",1,135969,518210,Sr Data Engineer,32.9
"CEA Technologies, Inc.","Hanover, MD",1,96000,334511,Operations Research Analyst,23.9
"Cecelia Health, Inc.","New York, NY",1,155000,621999,Data Integration Manager,37.3
Cedar Electronics Holding Corp,"Rolling Meadows, IL",1,60000,53221,Inventory Planning Analyst,22.5
Cedar Lane Pharmacy,"Leonardtown, MD",1,93000,456110,Data Scientist,23.2
Cedar Recovery of Middle Tennessee,"Mount Juliet, TN",1,80000,621420,Data Analyst,22.5
"CEI Physicians, PSC, LLC","Blue Ash, OH",1,118414,621320,Data Analyst,29.0
"Ceia USA, LTD","Hudson, OH",1,103500,334519,Computer Information And Research Scientist,25.6
"CELEBRATION BIDCO, LLC.","Eden Prairie, MN",1,95000,453220,Senior Financial Data Analyst,23.6
CELERALIFE LLC,"St. Charles, IL",1,48610,312112,Marketing Analyst,22.5
Cell Nation Inc.,"Corona, NY",1,60174,517122,Market Research Analyst,22.5
"CELLO CAPITAL MANAGEMENT, LP","New York, NY",1,140000,523920,"Vp, Research And Analytics",33.9
"Celltrion USA, Inc.","Jersey City, NJ",1,100000,424210,Business Analyst,24.8
CELLULAR AND MORE INC,"South Houston, TX",1,64688,51711,Database Administrator,22.5
"Cellular South, Inc.","Ridgeland, MS",1,81483,517112,Marketing Data Analyst,22.5
"CEM Business Solutions, Inc.","Wood Cliff Lake, NJ",1,81099,541512,Systems Analyst,22.5
"Cencora Patient Services, LLC","Conshohocken, PA",1,97000,54169,Data Governance Analyst,24.1
Cenergistic LLC,"Dallas, TX",1,96000,541690,Sales Analyst,23.9
"Center for Children, Inc.","La Plata, MD",1,82000,621330,Health Information And Human Services Data Manager,22.5
Center for Creative Leadership,"Greensboro, NC",1,112212,541720,Data Scientist Ii,27.5
"Centerboard, Inc.","Lynn, MA",1,76378,624190,Database Administrator,22.5
"CENTERLINE BUSINESS SERVICES, LLC","Memphis, TN",1,108000,541611,Business Intelligence Developer,26.6
"CENTESSA PHARMACEUTICALS, LLC","Boston, MA",1,215000,3254,"Assoc. Director / Sr. Manager Data Analyst, Statistical Prog",47.5
Centillion Infotech LLC,"Dallas, TX",1,,541511,Etl / Teradata Developer,22.5
"Centiva Capital, LP","New York, NY",1,160000,523920,Senior Data Engineer,38.4
CENTRAL COMMUNITY COLLEGE,"Grand Island, NE",1,,611210,Institutional Research Analyst,22.5
Central Distro Inc,"Orlando, FL",1,96720,424940,Business Intelligence Analyst,24.0
Central Florida Expressway Authority,"Orlando, FL",1,121576,488490,Senior Database Administrator,29.7
"Central Florida Regional Workforce Development Board, Inc.","Orlando, FL",1,58344,561499,Sql Data Analyst,22.5
Central Methodist University,"Fayette, MO",1,,611310,Applications Analyst,22.5
"Central Steel Group, Inc.","Mount Airy, NC",1,65146,332311,Business Analyst,22.5
"Centralized Management Services, LLC","Nashville, TN",1,113610,541511,Senior Business Intelligence Developer,27.9
Centralplas LLC,"Lagrange, GA",1,80000,326199,Data Analysis Manager,22.5
Century Beauty Group Inc,"New York, NY",1,,812112,Market Research Analyst,22.5
CENTURY GRAND INC,"New York, NY",1,,456110,Business Analyst,22.5
"Century Interactive Company, LC","Dallas, TX",1,215000,5415,"Manager, Data Science And Machine Learning Engineer",47.5
CenturyLink Management Company,"Monroe, LA",1,111250,517112,Lead It Systems Analyst,27.3
"Cerberus Capital Management, L.P.","New York, NY",1,118000,525920,Associate Ai Engineer,28.9
"Cerberus Technology Solutions, LLC","New York, NY",1,200000,525920,"Associate, Data Science - Cts",47.5
"Cercle AI, Inc.","Addison, TX",1,135000,513210,Ml/Ai Engineer,32.7
Cerebrium Inc.,"Willmington, DE",1,100000,513210,Founding Machine Learning Engineer,24.8
"Cerebrum, LLC","Wexford, PA",1,135000,518210,Senior Machine Learning Engineer,32.7
"Ceres USA Holdings, LLC F/K/A Salem Group Holdings, LLC","Shelton, CT",1,175000,551112,Annuity Operations Business Intelligence Lead,41.8
"Ceridian HCM, Inc.","Minneapolis, MN",1,121909,541214,Principal Database Administrator,29.8
"CeriFi, LLC","Alpharetta, GA",1,121640,92311,Lead Database Engineer,29.7
"Certilytics, Inc.","Louisville, KY",1,182000,5182,Data Scientist,43.4
"Certitude Business Solutions llc.,","Scotch Plains,, NJ",1,,541511,Data Scientist,22.5
"Certu Systems, Inc.","Pittsburgh, PA",1,48500,541512,Operations Analyst,22.5
"Cervello Inc., a Kearney Company","Boston, MA",1,184995,541511,Data Architect,44.1
CES Global LLC,"Bolingbrook, IL",1,105976,541511,Etl Talend Developer,26.1
Cesped Global Enterprises,"New York, NY",1,57000,531390,Market Research Analyst,22.5
CEVA Logistics US Inc.,"Houston, TX",1,125000,488510,Global It Product Management – Sap Otc Analyst,30.5
CFCU Community Credit Union,"Ithaca, NY",1,95000,522130,Business Intelligence Manager,23.6
CFOrent LLC.,"New York, NY",1,117042,541611,Market Research Analyst,28.6
"CFS Brands, LLC","Oklahoma City, OK",1,75000,7223,Senior Sourcing Data Analyst & Project Manager,22.5
"CG42, LLC","Isle Of Palms, SC",1,145000,54161,"Senior Consultant, Marketing Analyst",35.0
CGA 2.0 INC,"New York, NY",1,69000,541611,Operations Research Analyst,22.5
CGH Medical Center,"Sterling, IL",1,63000,622110,Quality Application Analyst,22.5
Chaincode Labs Inc.,"New York, NY",1,215000,54199,Head Of Research,47.5
ChainIn Trade LLC,"Westwood, MA",1,,541910,Business Analyst,22.5
ChainValue US Co.,"Houston, TX",1,48000,42499,Market Analyst,22.5
"Chakrabarti Management Consultancy, Inc.","Fairfax, VA",1,68078,541512,Market Research Analyst,22.5
"Challenge Manufacturing Holdings, Inc.","Walker, MI",1,74999,336370,Technical Data Analyst,22.5
Challenger Transportation Inc,"Gaithersburg, MD",1,102752,485310,Information Systems Analyst,25.4
"Champs Depot Richardson, LLC","Richardson, TX",1,,42399,Business Operation Analyst,22.5
CHANCE RIVER LLC.,"Stamford, CT",1,,541990,Quality Engineer Data,22.5
"CHANNEL CONTROL MERCHANTS, LLC","Hattiesburg, MS",1,67413,45399,Market Analyst,22.5
Chapin Hall Center for Children,"Chicago, IL",1,92400,541720,Researcher (Data Engineer),23.0
Chapter Two Technologies LLC,"Plano, TX",1,106000,541511,Cloud Machine Learning Systems Developer,26.1
"Character Biosciences, Inc.","Jersey City, NJ",1,158642,541714,Senior Data Engineer,38.1
Charge Smart Solutions,"Atlanta, GA",1,125000,5416,Data Engineer,30.5
"Charleston Area Medical Center, Inc.","Charleston, WV",1,97302,622110,Data Engineer,24.2
Chartbeat Incorporated,"Austin, TX",1,160000,518210,Senior  Machine Learning Engineer 1,38.4
Charter Institue at Erskine,"Columbia, SC",1,80000,611699,Data Analyst,22.5
Chartway Federal Credit Union,"Virginia Beach, VA",1,60485,522130,"Business Analyst, Marketing/Digital Banking I",22.5
CHARVI PHARMA SERVICES LLC,"Troy, MI",1,67870,325412,Data Analyst,22.5
"Chatterton Insurance, Inc.","Pawtucket, RI",1,,524210,Business Analyst,22.5
"Chaucer America, Inc.","New York, NY",1,112360,54161,Technical Management Analyst,27.6
CHD Home Textiles LLC,"New York, NY",1,,424310,Business Intelligence Analyst,22.5
CheckSammy Inc.,"Addison, TX",1,72000,562111,Data Engineer,22.5
CHEEMA LOGISTICS INC,"Greenwood, IN",1,62000,484121,Business Operations And Technology Analyst,22.5
Cheetah Net Supply Chain Service Inc.,"Charlotte, NC",1,59696,4231,Logistics Analyst,22.5
"Chem Aqua, Inc.","Irving, TX",1,97011,424690,Senior Digital Platform Analyst,24.1
ChemHost Inc.,"Hatfield, PA",1,63000,3251,Logistic Analyst,22.5
Chemlogix LLC,"Blue Bell, PA",1,75000,541614,Logistics Analyst,22.5
CHERY FORKLIFT (NEW YORK) INC,"Garden City, NY",1,,423810,Business Analyst,22.5
Chetak New York LLC,"Union, NJ",1,70000,424410,Operations Research Analyst,22.5
"Cheung Kong Holding, Inc.","East Point, GA",1,45000,424490,Market Research Analyst,22.5
"Chevron Phillips Chemical Company, L.P.","The Woodlands, TX",1,140000,325211,Data Engineer,33.9
"Chewy Insurance Services, LLC","Plantation, FL",1,158000,524128,Senior Merchandising Analytics Manager,38.0
CHHJ Franchising LLC,"Tampa, FL",1,70000,484110,Data Analyst Ii,22.5
"Chicago Blackhawk Hockey Team, Inc.","Chicago, IL",1,144000,711211,"Manager, Data Science",34.8
"Chicago Club Management Company, LLC","Bannockburn, IL",1,138715,541715,Business Data Analyst,33.6
Chicago Law Group Ltd.,"Chicago, IL",1,91000,541110,Data Systems Analyst,22.7
Chicagoland Chamber of Commerce,"Chicago, IL",1,49800,813910,"Coordinator, Data & Member Resources",22.5
"Chicagoland Infectious Disease, P.C.","South Holland, IL",1,83200,621111,Healthcare Data Analyst,22.5
Chicken Soup for the Soul Entertainment,"Cos Cob, CT",1,123614,532282,Senior Business Intelligence Developer,30.1
"Chief Industries, Inc.","Grand Island, NE",1,85000,332311,Business Systems Analyst,22.5
ChildCareGroup,"Dallas, TX",1,81123,6244,Business Intelligence Engineer,22.5
"Children's Healthcare of Atlanta, Inc.","Atlanta, GA",1,124966,622110,Data Warehouse Engineer,30.4
Children's Medical Center of Dallas,"Dallas, TX",1,94000,623210,Data Scientist,23.4
"China Direct Imports, LLC","Akron, OH",1,70000,812990,Operations Research Analyst,22.5
China Direct Intl Corp,"Linden, NJ",1,,42499,Operations Strategy Analyst,22.5
"China Education Network, Inc.","Dallas, TX",1,55390,54199,Data Analyst,22.5
China Unicom Americas Operations Ltd.,"Herndon, VA",1,64584,517111,Operations Research Analyst,22.5
Chinatex Oriental (U.S.A.) Inc.,"New York, NY",1,60000,4243,Supply Chain Analyst,22.5
Chinatex Oriental USA Inc,"New York, NY",1,90000,4243,Marketing Data Analyst,22.5
"Chinese Christian Herald Crusades, Inc.","Flushing, NY",1,,813110,Marketing Analyst,22.5
"CHOICE LOGISTICS, INC.","Wayne, PA",1,94000,541614,Data Interchange Specialist,23.4
Choice Sitter Solutions LLC,"Chicago, IL",1,100000,624410,"Manager, Analytics",24.8
Chosen Home Health Services Inc,"Dallas, TX",1,67995,621610,Health Data Analyst / Clinical Data Analyst,22.5
"Christel House International, Inc.","Indianapolis, IN",1,66539,611110,It Support Analyst,22.5
"Christensen Farms & Feedlots, Inc.","Sleepy Eye, MN",1,75000,112210,Data Analyst,22.5
Christian Dior Perfumes LLC,"New York, NY",1,108306,45612,Power Bi Lead,26.7
Christian Tyler Properties LLC,"Tampa, FL",1,,531390,Analytics Database Manager,22.5
Christianson PLLP,"Willmar, MN",1,61506,541219,Business Analyst,22.5
Christie's Inc.,"New York, NY",1,60174,453920,Client Strategy Analyst,22.5
Chubby Cattle Chicago LLC,"Chicago, IL",1,48610,722511,Market Analyst,22.5
CIBER PATHWAY INC,"Mckinney, TX",1,,541511,Erp Business Analyst,22.5
"CiBO Technologies, Inc.","St. Louis Park, MN",1,153316,541519,Senior Data Scientist,36.9
"Cielo, Inc.","Wauwatosa, WI",1,91000,561311,Data Engineer,22.7
CIGNEX INC.,"Iselin, NJ",1,120000,541511,Software Analyst,29.3
Cignus Consulting LLC,"Leesburg, VA",1,110000,541330,Aviation Operations Analyst,27.0
Ciklum Inc.,"New York, NY",1,220000,541511,Ai Engineering Director,47.5
CILICANT INC,"Princeton, NJ",1,79789,424690,Business Development Analyst,22.5
"Cimulate, Inc.","Boston, MA",1,165000,541715,Research Scientist,39.5
"Cincinnati Asia Market, Inc.","Cincinnati, OH",1,,4451,Market Research Analyst,22.5
"Cincinnati Ventures, Inc.","Cinncinnati, OH",1,,541611,Explainable Ai Researcher,22.5
"Cincom Systems, Inc.","Cincinnati, OH",1,70000,541511,Associate Data Analyst,22.5
"CINQ CARE, Inc.","Washington, DC",1,166858,6216,Data Science And Analytics Lead,40.0
"Cint USA, Inc.","New Orleans, LA",1,169978,541910,Staff Data Engineer,40.7
CINTURI TECHNOLOGIES LLC.,"Flower Mound, TX",1,85280,541511,Business Intelligence Analyst,22.5
"Cipla USA, Inc.","Warren, NJ",1,140000,424210,"Senior Manager, Business Development & Analytics",33.9
Cira Infotech Inc.,"Norcross, GA",1,133307,541511,Data Architect,32.3
CIRCUIT ENGINEERING LLC,"Elk Grove Village, IL",1,68786,334515,Business Analyst,22.5
"CIRRUS LOGIC, INC.","Austin, TX",1,150365,334413,Sap Business Systems Analyst,36.2
Cision US Inc.,"Chicago, IL",1,160000,519110,Senior Data Scientist,38.4
"CIT Bank, N.A.","Livingston, NJ",1,65000,522110,"Associate, Data Analytics",22.5
Citgo Petroleum Corporation,"Houston, TX",1,167029,213112,Systems And Master Data Manager,40.0
"Citian, Inc.","Washington, DC",1,115000,5419,Data Engineer,28.2
City Hive Inc.,"New York, NY",1,115000,541519,Data And Integration Engineer,28.2
City National Bank of Florida,"Miami, FL",1,145095,522110,"Platform Analyst, Senior",35.0
City of  Cleveland,"Cleveland, OH",1,65000,925120,Database Analyst,22.5
City of Austin,"Austin, TX",1,108638,921190,It Data Architect,26.7
City of College Park Georgia,"College Park, GA",1,90992,921110,Data Analyst,22.7
City of Corpus Christi,"Corpus Christi, TX",1,72500,922160,Business Intelligence Specialist,22.5
"City of Houston, Texas","Houston, TX",1,82056,921140,Staff Analyst,22.5
City of Huntsville Utilities,"Huntsville, AL",1,138403,926130,Senior It Applications Analyst,33.5
City of Memphis,"Memphis, TN",1,75542,921190,Hr Solutions Analyst,22.5
City of Phila Ttee Administering Wills Eye Institute,"Philadelphia, PA",1,73320,622110,Junior Statistician,22.5
City of Pittsburgh,"Pittsburgh, PA",1,91021,921140,Database Administrator,22.7
City of Rockledge,"Rockledge, FL",1,,921190,Gis Analyst,22.5
City of Saint Louis Mental Health Board of Trustees,"Saint Louis, MO",1,85883,525120,Data And Performance Analyst,22.5
CITY OF SAN ANTONIO ACTING BY AND THROUGH CITY PUBLIC SERVICE BOARD,"San Antonio, TX",1,150600,926130,Analyst System Admin 4,36.3
City of Temple Terrace,"Temple Terrace, FL",1,100000,921120,Municipal Systems Analyst,24.8
"Civitas Health Services, Inc.","Sandston, VA",1,87500,621330,Machine Learning Engineer,22.5
"CJ Logistics America, LLC","Des Plaines, IL",1,75000,541614,"Analyst, Continuous Improvement",22.5
CJS MED SPA KENDALL LLC,"Miami, FL",1,74000,812199,International Business Development Analyst,22.5
Claflin Service Company,"Warwick, RI",1,83387,81131,Powerbi Analyst,22.5
Claims Service Group LLC,"Westlake, TX",1,150455,541511,Lead Database Engineer,36.2
"Claims-X-Change, LLC","Dallas, TX",1,65000,541511,Senior Compliance Analyst,22.5
Clapper Media Group Inc.,"Carrollton, TX",1,150000,541519,Product Manager - Data Analytics,36.1
"Clarion Partners, LLC","New York, NY",1,115000,5313,"Associate, Data Scientist",28.2
Claris AI LLC,"Chesterbrook, PA",1,90000,541512,Machine Learning Engineer,22.5
"Claritas, LLC","Cincinnati, OH",1,82400,541910,Analyst,22.5
"CLARITECH CONSULTING, INC","Edison, NJ",1,,541511,Senior Computer Systems Analyst,22.5
Claritev Corporation,"New York, NY",1,108077,511210,"Developer, Etl, Sr.",26.6
Clarity Campaign Labs LLC,"Washington, DC",1,65000,541820,Analyst,22.5
ClarityCare AI Inc,"New York, NY",1,120000,518210,Funding Machine Learning Engineer,29.3
Clarium Managed Services LLC,"Miami, FL",1,70000,54199,Data Analyst,22.5
CLARIUS MEDICAL GROUP PLLC,"Sugar Land, TX",1,65500,62111,Healthcare Analyst,22.5
Clark Construction Corp,"New York, NY",1,73590,23622,Management Analyst,22.5
"Clark, Schaefer, Hackett & Co.","Dayton, OH",1,85000,541211,Systems Analyst,22.5
"Clarkson Regional Health Services, Inc.","Omaha, NE",1,85730,561110,Sr. Data Scientist,22.5
"Clasp Group, Inc.","Boston, MA",1,120000,522291,Data Engineer Ii,29.3
Class Over Inc.,"New York, NY",1,,611710,Data Analyst,22.5
Classroom Support Services LLC,"Detroit, MI",1,114090,541511,Senior Data Scientist,28.0
CLAY-TECH TECHNOLOGY LLC.,"Houston, TX",1,123656,541990,Computer And Information System Analyst,30.1
CLC Meals & Chef Anne Alfano LLC,"Washington, DC",1,102500,722513,Database Architects,25.3
Clean Air Car Service & Parking Corp.,"Flushing, NY",1,74402,485320,Project Management Analyst,22.5
CleanAire Inc.,"Washington, NC",1,83658,333413,Global Procurement Analyst,22.5
"CleanChoice Energy Shared Services, LLC","Washington, DC",1,90000,22111,Data Engineer,22.5
Cleaning West Services LLC,"Marietta, GA",1,65000,561720,Business Operations Analyst,22.5
"Clear Channel Outdoor, LLC","San Antonio, TX",1,135850,541850,Manager Rm Analytics & Support,32.9
"ClearBlade, Inc.","Austin, TX",1,129600,511210,Iot Data Scientist,31.5
"ClearCorrect Operating, LLC","Round Rock, TX",1,112164,339114,Cadcam Process Support Analyst,27.5
Clearlite Inc,"South Plainfield, NJ",1,,541511,Product Owner / Business Solution Analyst,22.5
"Clearview AI, Inc.","New York, NY",1,144000,54171,Product Manager -- Business Analyst,34.8
"Clearview Counseling Group, Inc.","Longmeadow, MA",1,,621420,Operations Research Analyst,22.5
"ClearView Healthcare Partners, LLC","Newton, MA",1,185000,541690,"Engagement Manager, Advanced Analytics",44.1
"ClearVision CRM, Inc","Sugar Land, TX",1,82680,541512,Data Analyst,22.5
Cleo AI Inc.,"Wilmington, DE",1,129000,522320,Machine Learning Engineer,31.4
Clerk of the Circuit Court of Volusia County,"Deland, FL",1,129599,92211,Program Analyst Ii,31.5
"Cleveland Asia Supermarket, Inc.","North Randall, OH",1,55619,44511,Statistician,22.5
Cleveland Guardians Baseball Company LLC,"Cleveland, OH",1,70444,711211,"Analyst, Business Strategy",22.5
"Cleveland Research Company, LLC","Cleveland, OH",1,96949,523940,Macro Research Associate,24.1
Cleveland-Cliffs Inc.,"Cleveland, OH",1,112611,331110,Senior It Data Scientist,27.6
"CLI Transport, LP","Altoona, PA",1,71601,484230,Data Analyst I,22.5
"CLIECON SOLUTIONS, INC.","Monroe Township, NJ",1,115232,541511,Program Analyst,28.2
ClientServer Technology Solutions LLC,"Iselin, NJ",1,120000,541511,Software Developer - Bi/Ba,29.3
Cliff IT Solutions Inc,"Blaine, MN",1,134971,541511,Senior Data Engineer,32.7
CliftonLarsonAllen LLP,"Minneapolis, MN",1,,541219,Senior Data Engineer,22.5
"Clinical Architecture, LLC","Carmel, IN",1,75000,51321,Clinical Qa Analyst,22.5
"Clinical Directors Network, Inc.","New York, NY",1,78894,624190,Data Scientist,22.5
Clinilabs Inc,"Eatontown, NJ",1,155000,54171,Lead Clinical Data Manager,37.3
"CLINPHARMA CONSULTING GLOBAL GROUP, LLC.","Newark, DE",1,,541511,Data Analyst,22.5
Cliq Solutions LLC,"Sterling, VA",1,100069,541511,Computer Systems Analyst,24.8
"CLO Virtual Fashion, LLC","New York, NY",1,190550,541511,Research Scientist,45.4
Clopay Corporation,"Mason, OH",1,120536,321911,Sr. Oracle Business Analyst,29.4
Cloud Craft Tec Inc,"Coppell, TX",1,115918,541511,Azure Data Engineer,28.4
Cloud Global LLC,"Irving, TX",1,86000,541511,Data Scientist,22.5
CLOUD INVENTIONS INC.,"Princeton, NJ",1,65000,541511,Data Analyst,22.5
Cloud Mantra LLC,"Atlanta, GA",1,75000,54151,Data Analyst,22.5
CLOUD SIGMA TECH LLC.,"Piscataway, NJ",1,97000,561311,Data Engineer,24.1
CloudArmee Limited,"Wilmington, DE",1,130000,511210,Senior Data Engineer,31.6
Cloudberyl LLC,"Dallas, TX",1,90000,541511,Software Qa Engineering Analyst,22.5
Cloudbyz Inc.,"Naperville, IL",1,83616,541511,Business Systems Analyst,22.5
CloudData Soft Inc,"Plano, TX",1,88000,541511,Database Administrator,22.5
"Cloudlabs, Inc.","Robbinsville, NJ",1,105000,541511,Aws Data Engineer,25.9
CLOUDMASTERS,"Salem, MA",1,106434,541511,Sr. Business Analyst,26.2
Cloudorama Solutions,"Herndon, VA",1,105206,541511,Data Engineer,26.0
CLOUDSRV LLC.,"Apex, NC",1,85000,5192,Data Scientist,22.5
CloudTern Solutions Inc,"Plano, TX",1,101192,541511,Sr. Bi Developer,25.0
Cloudvision247 Inc,"Durham, NC",1,69451,541511,Database Administrator,22.5
Cloudwin Corp,"King Of Prussia, PA",1,91270,541511,Sr Systems Analyst,22.8
CLOUDWORKS INC,"Irving, TX",1,92000,541511,Cloud Data Engineer,23.0
"Cloudywing Technologies, Inc","Collierville, TN",1,81328,541511,Senior Database Administrator,22.5
Clover Bay Technologies Inc.,"Monroe Township, NJ",1,59000,541519,Business Analyst,22.5
Cloverland Farms Dairy,"Baltimore, MD",1,74027,311511,Data Analyst,22.5
CLS US Services Inc,"New York, NY",1,203500,523160,"Vice President, Business Analyst",47.5
Club for Growth,"Washington, DC",1,99403,813319,Policy Analyst,24.6
Clymb Clinical LLC,"Bedford, MA",1,100000,541511,Senior Statistical Programmer,24.8
"Clymer Farner Barley, Inc.","Wildwood, FL",1,66955,541330,Gis Analyst,22.5
