name,hq,data_filings,median_wage,naics,relevant_title,score
"AAPPTEC, LLC","Louisville, KY",1,64605,54199,Qa/Qc Scientist,22.5
AAPS Consulting LLC,"Katy, TX",1,100000,541511,Computer Systems Analyst,24.8
AARPUS INC,"Frederick, MD",1,,541511,Business Intelligence Analyst,22.5
AAsys Technologies LLC,"Berwyn, PA",1,,541511,Data Analyst,22.5
Aayush Pharma Inc,"Coral Springs, FL",1,47174,6216,Marketing Analyst,22.5
AB Electronics LLC,"Brookfield, CT",1,70200,334418,Systems Analyst,22.5
AB Infotek LLC,"Iselin, NJ",1,89253,541511,Data Engineer,22.5
"Ab Ovo North America, Inc.","Somerville, MA",1,93500,5416,Operations Research Analyst/Business Consultant,23.3
AB SCIEX LLC,"Framingham, MA",1,155324,334516,Oracle Manufacturing Business Analyst,37.3
AB TILE LLC,"Lodi, NJ",1,,327991,Management Analyst,22.5
Abacus Business Computer LLC,"Flushing, NY",1,120000,541519,Business Intelligence Analyst,29.3
ABACUS SERVICE CORPORATION,"Southfield, MI",1,,5419,Scientist 2 - Clinical Research,22.5
Abaline Paper Products,"Bayonne, NJ",1,81000,423450,Business Analyst,22.5
Abarca Health FL LLC,"Lewis Center, OH",1,109999,541511,"Manager, Analytics",27.0
ABB INSTALLATION PRODUCTS INC.,"Memphis, TN",1,134096,423610,Global Business Intelligence Specialist,32.5
ABBOTT CARDIOVASCULAR SYSTEMS INC.,"Chicago, IL",1,130000,3254,Staff Data Engineer,31.6
Abbott Rapid Dx North America LLC,"Chicago, IL",1,125000,325412,"Manager, Market And Business Intelligence",30.5
Abby United LLC,"Norcross, GA",1,73000,332321,Database Administrator,22.5
ABC USA Masters Education Consultant,"Ocoee, FL",1,55000,54169,Operation Research Analyst,22.5
Abcam Inc.,"Waltham, MA",1,136896,54171,"Manager, Commercial Data Analytics",33.2
ABCO COMPUTERS INC,"Bentonville, AR",1,81224,541511,Data Analyst,22.5
ABCONNECT GLOBAL LLC,"High Point, NC",1,92498,541511,Technical Business Analyst,23.1
ABCS INSIGHTS INC,"Kissimmee, FL",1,85000,541910,Data Analyst,22.5
ABF Freight System Inc,"Fort Smith, AR",1,78000,48412,Lead Prescriptive Analyst,22.5
